timestamp,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
11:25:30,6.3,2261762048,819509799,3292992,2.2243136949604e-05
11:25:31,5.4,2263285760,819509799,3292992,6.672452795315672e-05
11:25:32,6.6,2264698880,819509799,3292992,0.00011120744765173519
11:25:33,12.8,2295611392,819509799,3292992,0.0001334486106915357
11:25:34,7.7,2300551168,819509799,3292992,0.00015568987266848162
11:25:35,21.8,2458193920,819509799,3292992,0.00017787308810748872
11:25:36,19.7,2608906240,819509799,3293207,0.00020007052486001314
11:25:37,15.4,2603507712,819509799,3293422,0.00022230043492524343
11:25:38,12.3,2601443328,819509799,3293773,0.0002445047148566566
11:25:39,9.2,2599251968,819509799,3293909,0.0002667322383419257
11:25:40,8.7,2604802048,819509799,3293909,0.00028895639231275974
11:25:41,9.6,2605744128,819509799,3293991,0.0003111802104056106
11:25:42,12.5,2587947008,819509799,3293991,0.00033340714597092743
11:25:43,15.9,2654171136,819509799,3294206,0.00035557928059533307
11:25:44,14.6,2709483520,819589898,3295454,0.0003777593305304702
11:25:45,14.8,2718146560,819590112,3296324,0.00037773566025165974
11:25:46,14.0,2736558080,820313665,3306773,0.00039995513836531336
11:25:47,14.0,2753986560,831190381,3357421,0.00042212646986797384
11:25:48,12.0,2763247616,839695675,3389729,0.0004443433563308791
11:25:49,14.9,2760679424,846347605,3415373,0.0004665509879411566
11:25:50,12.8,2767392768,849050639,3429933,0.0004887673758884945
11:25:51,15.7,2765012992,853279447,3449923,0.000510983620697747
11:25:52,14.9,2778263552,862389433,3477959,0.0005331929554768886
11:25:53,19.3,2852057088,874880449,3537283,0.01528238962818868
11:25:54,51.0,3126128640,874880597,3537778,0.01529968479651558
11:25:55,29.6,3095396352,874880597,3537993,0.015321880227863006
11:25:56,17.7,3101437952,881113503,3565398,0.015343683806423774
11:25:57,13.2,3100188672,885293081,3580341,0.015364571928205483
11:25:58,12.8,3094835200,885293081,3580477,0.015386764817795892
11:25:59,12.2,3077988352,885293081,3580477,0.015408776352768171
11:26:00,14.3,3072446464,885293081,3580559,0.015430965496083615
11:26:01,18.3,3073056768,885293081,3580559,0.015451936678807131
11:26:02,14.9,3074781184,885293081,3580559,0.015474123995576442
11:26:03,14.1,3076210688,885293081,3580559,0.015495520035368858
11:26:04,18.0,3072573440,885293081,3580559,0.015517316876097722
11:26:05,19.1,3079229440,885293081,3580559,0.015539505835944663
11:26:06,19.5,3080941568,885293081,3580559,0.015556000241661688
11:26:07,17.8,3077070848,885293081,3580559,0.015578153370803378
11:26:08,17.0,3068342272,885293081,3580559,0.015600330624930272
11:26:09,14.0,3067932672,885293081,3580559,0.015622504372886543
11:26:10,15.8,3059998720,885293081,3580559,0.015644226761624535
11:26:11,9.6,3063791616,885293081,3580559,0.015666212046950928
11:26:12,9.4,3064594432,885293081,3580559,0.01568797048309463
11:26:13,9.9,3067011072,885293081,3580559,0.015710149516577288
11:26:14,9.6,3055792128,885293081,3580559,0.015731804900102207
11:26:15,10.1,3055177728,885293081,3580559,0.015753867782558238
11:26:16,7.7,3053625344,885293081,3580559,0.015776042326833113
11:26:17,6.5,3055828992,885293081,3580559,0.01579548660608735
11:26:18,6.9,3057704960,885293081,3580559,0.015817323885162902
11:26:19,6.4,3057700864,885293081,3580559,0.01583946941770594
11:26:20,6.2,3057762304,885293081,3580559,0.015861642992240164
11:26:21,5.3,3057770496,885293081,3580559,0.015883816537260335
11:26:22,5.3,3058024448,885293081,3580559,0.015905855967150082
11:26:23,5.5,3043532800,885293081,3580559,0.015927728928244084
11:26:24,5.0,3044777984,885293081,3580559,0.015949901779994616
11:26:25,4.7,3044773888,885293081,3580559,0.01597207460223295
11:26:26,4.8,3044769792,885293081,3580762,0.01599424739495914
11:26:27,4.5,3044483072,885293081,3580762,0.01601179195293243
11:26:28,4.8,3043680256,885293081,3580762,0.016033727155750417
11:26:29,5.8,3043934208,885293081,3580762,0.01605588601518468
11:26:30,5.3,3045195776,885293081,3580762,0.016078044825478092
11:26:31,5.8,3046305792,885293081,3580762,0.016100207157107586
11:26:32,5.2,3046375424,885293081,3580762,0.016121186082449224
11:26:33,7.2,3055120384,885293081,3580762,0.016165349573189866
11:26:34,5.7,3054252032,885293081,3580762,0.016187423757649873
11:26:35,6.3,3055104000,885293081,3580762,0.016209576744335336
11:26:36,5.6,3053465600,885293081,3580762,0.01623172967207305
11:26:37,6.0,3053658112,885293081,3580762,0.016252102255433713
11:26:38,6.9,3052879872,885293081,3580762,0.016296421034333843
11:26:39,6.3,3052662784,885293081,3580762,0.016318459164968258
11:26:40,5.6,3052916736,885293081,3580762,0.016340609246423537
11:26:41,5.5,3052654592,885293081,3580762,0.016362759268946057
11:26:42,6.0,3052843008,885293081,3580762,0.016384484203855132
11:26:43,6.3,3053350912,885293081,3580762,0.016406178855173512
11:26:44,5.4,3053699072,885293081,3580762,0.016428200036281714
11:26:45,5.3,3054125056,885293081,3580762,0.016450257287455666
11:26:46,5.2,3053850624,885293081,3580762,0.016472405533774943
11:26:47,4.8,3053035520,885293081,3580762,0.016494473270667265
11:26:48,5.2,3051999232,885293081,3580762,0.01651662129122179
11:26:49,6.1,3052224512,885293081,3580762,0.016538769252853892
11:26:50,4.8,3052216320,885293081,3580762,0.016560825367592957
11:26:51,4.3,3051241472,885293151,3580832,0.01660513915755079
11:26:52,5.1,3051495424,885293151,3580832,0.01662708035951073
11:26:53,7.0,3051675648,885293151,3580832,0.016649054176875806
11:26:54,4.8,3051790336,885293151,3580832,0.016671201181660062
