,timestamp,bufferLevel,frameRate,bitrate,resolution,calculatedBitrate,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
0,2022-12-04 11:25:36,634.667,18,590,426x240,34,22.4,2607153152,4603993737,3692419,0.0171616164664376
1,2022-12-04 11:25:37,634.26,18,590,426x240,53,15.2,2604761088,4603993737,3692634,0.0171838350796433
2,2022-12-04 11:25:38,633.197,18,590,426x240,97,13.0,2601652224,4603993737,3692985,0.0172042523176978
3,2022-12-04 11:25:39,632.135,18,590,426x240,139,9.6,2599374848,4603993737,3693121,0.0172264685467189
4,2022-12-04 11:25:40,631.073,18,590,426x240,207,8.0,2604285952,4603993737,3693121,0.0172484853812696
5,2022-12-04 11:25:41,630.276,18,590,426x240,331,10.0,2605973504,4603993737,3693203,0.017270513193744
6,2022-12-04 11:25:42,629.213,18,590,426x240,445,12.6,2588364800,4603993737,3693203,0.0172927173043587
7,2022-12-04 11:25:43,628.151,18,590,426x240,593,15.9,2654158848,4603993737,3693418,0.0173122662239852
8,2022-12-04 11:25:44,627.088,18,590,426x240,737,15.0,2709786624,4603993737,3693707,0.0173324869302215
9,2022-12-04 11:25:45,626.291,18,590,426x240,882,13.8,2712633344,4603993737,3693922,0.0173536321946539
10,2022-12-04 11:25:46,625.229,18,590,426x240,994,13.5,2724208640,4603993737,3694137,0.0173536206268556
11,2022-12-04 11:25:47,624.166,18,590,426x240,1143,14.4,2753052672,4603993737,3694327,0.0173738483923996
12,2022-12-04 11:25:48,623.104,18,590,426x240,1260,12.5,2761707520,4603993737,3694409,0.0173960539950854
13,2022-12-04 11:25:49,622.307,18,590,426x240,1393,13.7,2765037568,4603993737,3694409,0.0174179499861561
14,2022-12-04 11:25:50,621.245,18,590,426x240,1529,14.0,2766761984,4603993737,3694491,0.0174401202635146
15,2022-12-04 11:25:51,620.182,18,590,426x240,1654,14.7,2764361728,4603993737,3694491,0.0174623214590102
16,2022-12-04 11:25:52,619.12,18,590,426x240,1778,15.4,2777509888,4603993737,3694491,0.017484363352841
17,2022-12-04 11:25:53,618.058,18,590,426x240,1895,17.4,2828877824,4603993737,3694491,0.0175062647934741
18,2022-12-04 11:25:54,617.261,18,590,426x240,2031,49.5,3111444480,4603993737,3694780,0.0175202602991068
19,2022-12-04 11:25:55,616.198,18,590,426x240,2166,31.2,3095306240,4603993737,3694995,0.0175424542659612
20,2022-12-04 11:25:56,615.136,18,590,426x240,2302,20.3,3101270016,4603993737,3695210,0.0175641996756396
21,2022-12-04 11:25:57,614.074,18,590,426x240,2406,12.6,3101151232,4603993737,3695561,0.0175848975038604
22,2022-12-04 11:25:58,613.276,18,590,426x240,2500,13.0,3094822912,4603993737,3695697,0.0176070889292875
23,2022-12-04 11:25:59,612.214,18,590,426x240,2614,11.7,3078139904,4603993737,3695697,0.0176290728722927
24,2022-12-04 11:26:00,611.152,18,590,426x240,2712,14.7,3072385024,4603993737,3695779,0.0176512600585122
25,2022-12-04 11:26:01,610.089,18,590,426x240,2839,17.4,3072761856,4603993737,3695779,0.0176720503702277
26,2022-12-04 11:26:02,609.293,18,590,426x240,2943,15.4,3073957888,4603993737,3695779,0.0176942396536014
27,2022-12-04 11:26:03,608.23,18,590,426x240,3042,14.2,3076214784,4603993737,3695779,0.0177160277269154
28,2022-12-04 11:26:04,607.168,18,590,426x240,3159,17.4,3072499712,4603993737,3695779,0.0177372595723067
29,2022-12-04 11:26:05,606.105,18,590,426x240,3259,19.2,3073695744,4603993737,3695779,0.0177594470684952
