,timestamp,bufferLevel,frameRate,bitrate,resolution,calculatedBitrate,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
56,2022-12-04 11:26:40,587.433,18,590,426x240,2782,5.6,3052916736,885293081,3580762,0.0163406092464235
57,2022-12-04 11:26:41,586.37,18,590,426x240,2782,5.5,3052654592,885293081,3580762,0.016362759268946
58,2022-12-04 11:26:42,585.573,18,590,426x240,2782,6.0,3052843008,885293081,3580762,0.0163844842038551
59,2022-12-04 11:26:43,584.511,18,590,426x240,2782,6.3,3053350912,885293081,3580762,0.0164061788551735
60,2022-12-04 11:26:44,583.448,18,590,426x240,2782,5.4,3053699072,885293081,3580762,0.0164282000362817
61,2022-12-04 11:26:45,582.386,18,590,426x240,2782,5.3,3054125056,885293081,3580762,0.0164502572874556
62,2022-12-04 11:26:46,581.323,18,590,426x240,2782,5.2,3053850624,885293081,3580762,0.0164724055337749
63,2022-12-04 11:26:47,580.527,18,590,426x240,2782,4.8,3053035520,885293081,3580762,0.0164944732706672
64,2022-12-04 11:26:48,579.464,18,590,426x240,2782,5.2,3051999232,885293081,3580762,0.0165166212912217
65,2022-12-04 11:26:49,578.402,18,590,426x240,2782,6.1,3052224512,885293081,3580762,0.0165387692528538
66,2022-12-04 11:26:50,577.339,18,590,426x240,2782,4.8,3052216320,885293081,3580762,0.0165608253675929
67,2022-12-04 11:26:51,576.542,18,590,426x240,2782,4.3,3051241472,885293151,3580832,0.0166051391575507
68,2022-12-04 11:26:52,575.48,18,590,426x240,2782,5.1,3051495424,885293151,3580832,0.0166270803595107
69,2022-12-04 11:26:53,574.417,18,590,426x240,2782,7.0,3051675648,885293151,3580832,0.0166490541768758
70,2022-12-04 11:26:54,573.355,18,590,426x240,2782,4.8,3051790336,885293151,3580832,0.01667120118166
71,2022-12-04 11:26:55,572.559,18,590,426x240,2782,5.7,3052171264,885293151,3580832,0.0166933481275267
72,2022-12-04 11:26:56,571.496,18,590,426x240,2782,5.5,3051458560,885293151,3580832,0.0167154950144761
73,2022-12-04 11:26:57,570.433,18,590,426x240,2782,5.2,3052187648,885293151,3580832,0.0167376418425084
74,2022-12-04 11:26:58,569.371,18,590,426x240,2782,7.3,3054456832,885293151,3580832,0.0167578567831664
75,2022-12-04 11:26:59,568.574,18,590,426x240,2782,5.6,3054456832,885293151,3580832,0.0168021636664848
76,2022-12-04 11:27:00,567.512,18,590,426x240,2782,5.9,3054444544,885293151,3580832,0.0168243077332132
77,2022-12-04 11:27:01,566.449,18,590,426x240,2782,10.1,3037773824,885293151,3580832,0.0168464517410392
78,2022-12-04 11:27:02,565.387,18,590,426x240,2782,9.9,3037335552,885293151,3580832,0.0168685956899629
79,2022-12-04 11:27:03,564.324,18,590,426x240,2782,7.7,3034021888,885293151,3580832,0.0168904438047231
80,2022-12-04 11:27:04,563.527,18,590,426x240,2782,5.9,3034075136,885293151,3580832,0.0169124710355923
81,2022-12-04 11:27:05,562.465,18,590,426x240,2782,5.7,3035635712,885293151,3580832,0.0169346105147639
82,2022-12-04 11:27:06,561.403,18,590,426x240,2782,6.0,3036057600,885293151,3580832,0.0169567536838131
83,2022-12-04 11:27:07,560.34,18,590,426x240,2782,5.3,3036053504,885293151,3580832,0.0169788967939642
84,2022-12-04 11:27:08,559.543,18,590,426x240,2782,6.3,3037749248,885293151,3580832,0.0169997172439468
85,2022-12-04 11:27:09,558.481,18,590,426x240,2782,5.2,3036946432,885293151,3580832,0.0170438637353068
86,2022-12-04 11:27:10,557.418,18,590,426x240,2782,5.2,3037134848,885293151,3580832,0.0170660047125444
87,2022-12-04 11:27:11,556.356,18,590,426x240,2782,4.8,3037134848,885293151,3580832,0.0170881456308952
88,2022-12-04 11:27:12,555.559,18,590,426x240,2782,5.3,3037716480,885293151,3580832,0.0171102826981076
89,2022-12-04 11:27:13,554.497,18,590,426x240,2782,5.3,3035975680,885293151,3580832,0.0171319260811688
90,2022-12-04 11:27:14,553.434,18,590,426x240,2782,4.7,3035873280,885293151,3580832,0.0171540661757995
91,2022-12-04 11:27:15,552.372,18,590,426x240,2782,4.8,3035869184,885293151,3580832,0.0171762062115478
92,2022-12-04 11:27:16,551.575,18,590,426x240,2782,4.7,3035865088,885293151,3580832,0.0171983461884137
93,2022-12-04 11:27:17,550.513,18,590,426x240,2782,5.6,3035611136,885293151,3580832,0.0172204822898587
