Time,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
11:25:28,5.5,2263621632,2750028778,3040650,2.22431666350721e-05
11:25:29,5.5,2265194496,2750028778,3040720,6.672944053425369e-05
11:25:30,5.4,2262003712,2750028778,3040720,8.896607684567216e-05
11:25:31,6.1,2263150592,2750028778,3040720,0.00011120752185436318
11:25:32,7.3,2273587200,2750028778,3040720,0.00013344887782004586
11:25:33,12.9,2298486784,2750028778,3040720,0.0001556899765514214
11:25:34,6.9,2301583360,2750028778,3040720,0.00017792985838173351
11:25:35,27.2,2593705984,2750028778,3040935,0.0002000706582874852
11:25:36,15.7,2608746496,2750028778,3041150,0.0002223005831777924
11:25:37,15.3,2603749376,2750028778,3041365,0.0002445250426154354
11:25:38,11.3,2602381312,2750028778,3041716,0.00026673241620726174
11:25:39,9.2,2606014464,2750028778,3041852,0.00028895992487041954
11:25:40,8.8,2605232128,2750028778,3041852,0.0003111838071060489
11:25:41,9.6,2607153152,2750028778,3041934,0.00033340736829172565
11:25:42,18.0,2647052288,2750028778,3042149,0.0003556197449195135
11:25:44,14.8,2700087296,2750028778,3042364,0.0003777915671699795
11:25:45,13.0,2713243648,2750028778,3042579,0.0003999669582851683
11:25:46,12.9,2719195136,2750028778,3042864,0.0004221751496930314
11:25:47,15.3,2747265024,2750028778,3043000,0.00044435461075397034
11:25:48,12.5,2755428352,2750028778,3043136,0.00046656083511723424
11:25:49,12.2,2761687040,2750028778,3043136,0.000488769004713566
11:25:50,14.6,2760630272,2750028778,3043218,0.0005109844153641239
11:25:51,14.0,2761433088,2750028778,3043218,0.0005332006552369552
11:25:52,14.7,2770333696,2750028778,3043218,0.0005554169790192902
11:25:53,15.0,2780950528,2750028778,3043218,0.0005776182588686202
11:25:54,32.1,2948759552,2750028778,3043433,0.0005995734035233931
11:25:55,42.0,3129614336,2802349653,3120140,0.0006217578727176143
11:25:56,29.5,3095576576,2812722673,3141221,0.0006439630820406191
11:25:57,14.8,3102187520,2812722673,3141572,0.0006660946024189559
11:25:58,12.9,3102265344,2812722673,3141708,0.0006882972973618064
11:25:59,12.1,3095953408,2812722673,3141708,0.000710492706154038
11:26:00,12.5,3078418432,2812722673,3141708,0.0007326939764284577
11:26:01,16.0,3071959040,2812722673,3141708,0.0007548961537652416
11:26:02,17.2,3075178496,2812722673,3141708,0.000777037045629669
11:26:03,14.9,3073122304,2812722673,3141708,0.0008214198319497128
11:26:04,13.6,3075780608,2812722673,3141708,0.0008435840355939185
11:26:05,19.9,3072716800,2812722673,3141708,0.0008657730445891433
11:26:06,18.5,3083231232,2812722673,3141708,0.0008879717620539809
11:26:07,19.6,3086217216,2812722673,3141708,0.0009098373893125951
11:26:08,17.3,3076296704,2812722673,3141708,0.0009320260632212141
11:26:09,15.4,3068530688,2812722673,3141708,0.0009542163129603158
11:26:10,15.0,3064111104,2812722673,3141708,0.000976406523305409
11:26:11,14.8,3061837824,2812722673,3141708,0.0009985554785496692
11:26:12,9.4,3061293056,2812722673,3141708,0.001020726574255778
11:26:13,9.3,3067162624,2812722673,3141708,0.0010429061000077054
11:26:14,10.7,3055890432,2812722673,3141708,0.001065068885826446
11:26:15,8.7,3055792128,2812722673,3141708,0.001087247447256711
11:26:16,9.6,3053629440,2812722673,3141708,0.0011094270624651258
11:26:17,7.8,3055833088,2812722673,3141708,0.0011314195371861827
11:26:18,6.5,3056529408,2812722673,3141708,0.0011536029543771662
11:26:19,6.7,3057704960,2812722673,3141708,0.001175761803525433
11:26:20,6.9,3057766400,2812722673,3141708,0.001197943065204651
11:26:21,5.8,3057770496,2812722673,3141708,0.001220126384018474
11:26:22,5.1,3058028544,2812722673,3141708,0.0012422992007745737
11:26:23,5.6,3041996800,2812722673,3141708,0.001264482273539128
11:26:24,5.2,3043532800,2812722673,3141708,0.0012866410554848982
