Time,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
18:10:10,4.3,1826172928,1714135265,10599100545,1.2396205409958163e-05
18:10:11,5.5,1831464960,1714135265,10599100545,2.4792118858128305e-05
18:10:12,5.3,1834250240,1714135265,10599100545,3.7188169067457385e-05
18:10:13,4.9,1879085056,1714135848,10599100966,4.958421313030251e-05
18:10:14,30.5,2051342336,1714136654,10599101714,6.197656337662944e-05
18:10:15,61.6,2330087424,1714141681,10599111282,7.436866810828264e-05
18:10:16,58.9,2659393536,1714170536,10599211341,8.676038130567867e-05
18:10:17,58.6,2745778176,1714200435,10599717216,9.915372604674497e-05
18:10:18,49.0,2998583296,1714488850,10599739970,0.00011154792797709722
18:10:19,4.6,2998562816,1715073276,10599804372,0.0001239421114734731
18:10:20,3.4,3003052032,1715131231,10600523676,0.0001363363057230108
18:10:21,2.9,3009753088,1715160430,10601002273,0.00014873049690022406
18:10:22,2.6,2994221056,1715160430,10601002273,0.000161124685005114
18:10:23,11.1,1987313664,1715162011,10601003584,0.00017351142918234816
18:10:24,3.3,1986248704,1715162304,10601003739,0.0001859050796549044
18:10:25,6.6,1846804480,1715162304,10601003739,0.00019829479489486332
18:10:26,2.1,1842642944,1715162304,10601003739,0.0002106881934643097
18:10:27,1.5,1842655232,1715162390,10601003924,0.0002230815889618238
18:10:28,2.1,1844822016,1715162390,10601004043,0.0002354749813874068
18:10:29,1.5,1844125696,1715162476,10601004228,0.00024786837074105986
18:10:30,1.9,1843970048,1715165965,10601015576,0.00026026069260141747
18:10:31,2.0,1845420032,1715168228,10601017966,0.00027265402512475855
18:10:32,1.7,1845596160,1715168228,10601017966,0.00028504735457619823
18:10:33,2.1,1845592064,1715168228,10601017966,0.00029742243493984926
18:10:34,2.0,1845592064,1715168228,10601017966,0.00030981499800153834
18:10:35,1.7,1851764736,1715168228,10601017966,0.0003222075579917063
18:10:36,2.1,1852391424,1715168294,10601017966,0.00033459712941067565
18:10:37,1.5,1852289024,1715168380,10601018032,0.0003469895726845099
18:10:38,1.5,1850478592,1715168380,10601018032,0.00035938201288688134
18:10:39,2.0,1850855424,1715168380,10601018032,0.00037177445001779094
18:10:40,1.5,1851052032,1715168380,10601018032,0.00038416688407724
18:10:41,1.7,1851039744,1715168619,10601018098,0.00039655818476730164
18:10:42,1.9,1851109376,1715168619,10601018098,0.00040895057736231154
18:10:43,1.9,1851043840,1715168619,10601018098,0.0004213429668858817
18:10:44,1.9,1851043840,1715168619,10601018098,0.00043372675344650896
18:10:45,1.5,1850331136,1715168619,10601018158,0.00045851102571859597
18:10:46,2.0,1850318848,1715168681,10601018218,0.00047090152330756516
18:10:47,1.9,1850249216,1715168767,10601018284,0.00048329360876731784
18:10:48,1.5,1850507264,1715168767,10601018403,0.0004956856911557808
18:10:49,1.6,1850494976,1715168833,10601018403,0.0005080753149780385
18:10:50,2.1,1852813312,1715169239,10601018553,0.000520467331334429
18:10:51,1.6,1852813312,1715169239,10601018553,0.0005328593446195628
18:10:52,1.6,1852809216,1715169239,10601018553,0.000545251354833441
18:10:53,1.8,1853067264,1715169239,10601018553,0.000557643361976065
18:10:54,1.9,1856643072,1715169239,10601018553,0.0005700241346359831
18:10:55,1.9,1856122880,1715169239,10601018961,0.0005948076452485418
18:10:56,1.7,1856118784,1715169239,10601019043,0.0006071993959481275
18:10:57,1.6,1856376832,1715169325,10601019109,0.0006195911435765856
18:10:58,1.9,1856442368,1715169325,10601019477,0.0006319828881339171
18:10:59,2.0,1856614400,1715169325,10601019596,0.0006443628120749006
18:11:00,1.9,1856610304,1715169457,10601019775,0.0006691458313190546
18:11:01,2.0,1856540672,1715169849,10601019857,0.0006815373363346172
18:11:02,2.7,1851502592,1715169911,10601019917,0.0006939289242679739
18:11:03,2.0,1851465728,1715169911,10601019917,0.0006939288382791717
18:11:04,4.8,1846378496,1715169911,10601019917,0.0007063079089230821
18:11:05,2.3,1846460416,1715169911,10601019917,0.0007186991866896414
18:11:06,1.5,1842233344,1715169911,10601019917,0.0007310905519773939
18:11:07,2.8,1836695552,1715169997,10601019983,0.0007310904613853043
18:11:08,2.9,1830625280,1715170251,10601020271,0.0007558731888898908
18:11:09,2.6,1836642304,1715171249,10601020958,0.0007558730015639446
18:11:10,4.5,1830195200,1715172417,10601021479,0.000768245608616717
18:11:11,7.2,1830735872,1715173808,10601021848,0.0007806225446207099
18:11:12,2.1,1822822400,1715173808,10601021914,0.0007930133786623085
18:11:13,1.3,1823039488,1715174004,10601022086,0.0007930131821404138
18:11:14,5.5,1814474752,1715174090,10601022152,0.0008054040131113577
18:11:15,2.0,1821032448,1715174090,10601022212,0.0008054038135189074
18:11:16,1.0,1814495232,1715180205,10601022212,0.0008177946414191983
18:11:17,1.3,1814802432,1715180782,10601022946,0.0008177919054771335
18:11:18,2.5,1815203840,1715180868,10601023012,0.0008301826919237566
18:11:19,2.5,1815089152,1715181417,10601023417,0.000830182383325378
18:11:20,3.9,1813065728,1715181417,10601023417,0.0008425561480811017
18:11:21,1.4,1811021824,1715181417,10601023417,0.0008549464678057052
